"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last Update,Outlook,Scouting Day,Scouting Hour,Scouting Attempt"
"Ireneusz Abraham,111136029,57.029,,4588,WC 36,43,World Cup - Finals,05.02.2024,87,1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,29.05.2024,bd10-f1-e21c-m19c-n25-h2,niedziela,07:50,1"
"Ryszard Smycz,333837017,18.009,P34,268,WC 39,20,World Cup - Round I  Matchday 4,08.08.2025,91,15,0.5,2,3,5,6.5,5.5,0.5,2.0,3.0,5.0,5.5,5.5,15.05.2024 bramkarz (90'),Polska,29.05.2024,bd4-f5-e28c-m13c-n26-h12,poniedzialek,09:12,1"
"Edward Trzaskala,345358777,18.006,,155,WC 39,20,World Cup - Round I  Matchday 4,08.08.2025,91,15,2,4.5,4.5,5,4.5,5.5,2.0,4.5,4.5,5.0,4.5,5.5,22.05.2024 napastnik (90'),Polska,29.05.2024,bd12-f4-e10b-m35b-n36-h7,wtorek,09:16,2"
"Kamil Staszewski,341555452,16.096,,149,WC 39,45,World Cup - Finals -2 trainings,19.12.2025,93,2,2,3,4,4,5,6,2.0,3.0,4.0,4.0,5.0,6.0,29.05.2024 pomocnik (90'),Polska,29.05.2024,bd9-f8-e22b-m8b-n24-h3,poniedzialek,00:01,1"
"Marek Korulski,345574186,17.082,P11,142,WC 39,25,World Cup - Round I  Matchday 9,12.09.2025,92,4,2,3.5,4,4.5,4.5,4.5,2.0,3.5,4.0,4.5,4.5,4.5,29.05.2024 stoper (1') skrzydlowy (89'),Polska,29.05.2024,bd7-f2-e19b-m8b-n23-h6,poniedzialek,09:14,2"
"Norbert Guca,347801743,16.040,,132,WC 40,13,Continental Championship  Matchday 10,13.02.2026,93,10,2,4,4.5,4.5,5.5,6,2.0,3.5,4.5,4.5,5.5,6.0,15.05.2024 skrzydlowy (90'),Polska,29.05.2024,bd5-f6-e22c-m3c-n9-h8,czwartek,10:57,1"
"Jakub Skomorowski,347277214,16.089,H1,128,WC 40,5,Continental Championship  Matchday 2,29.12.2025,93,4,-1,3.5,4,4.5,4.5,7.5,-1.0,3.5,4.0,4.5,4.5,7.5,29.05.2024 boczny_obronca (90'),Polska,29.05.2024,bd5-f1-e10c-m9c-n27-h3,poniedzialek,09:14,4"
"Gustaw Topinski,347394116,16.104,,114,WC 39,44,World Cup - Finals -1 training,12.12.2025,93,1,2,3,4,4.5,4.5,4.5,2.0,3.0,4.0,4.5,4.5,4.5,15.05.2024 pomocnik (90'),Polska,29.05.2024,bd1-f1-e15a-m16a-n26-h7,poniedzialek,09:08,1"
"Damian Hologa,347484424,16.068,,107,WC 40,9,Continental Championship  Matchday 6,16.01.2026,93,6,1.5,4.5,4.5,5,4.5,5.5,1.5,4.5,4.5,5.0,4.5,5.5,29.05.2024 stoper (89') skrzydlowy (1'),Polska,29.05.2024,bd5-f4-e13c-m34c-n21-h2,poniedzialek,09:08,2"
"Ryszard Lenarczyk,347763650,16.044,H58,79,WC 40,13,Continental Championship  Matchday 10,13.02.2026,93,10,1.5,3.5,4.5,3.5,4.5,4.5,1.5,3.5,4.5,3.5,4.5,4.5,29.05.2024 boczny_obronca (89') napastnik (1'),Polska,29.05.2024,bd12-f1-e25c-m9c-n1-h8,poniedzialek,09:13,2"
"Cyryl Kosciow,344590446,17.019,,65,WC 39,38,World Cup - Round IV  Matchday 3,14.11.2025,92,13,1.5,-1,3,4,3.5,5.5,1.5,-1.0,3.0,4.0,3.5,5.5,23.05.2024 bramkarz (90'),Polska,29.05.2024,bd9-f8-e26a-m8a-n15-h6,poniedzialek,09:11,1"
"Walerian Pawinski,348655135,16.025,T6,58,WC 40,17,World Cup - Round I  Matchday 1,06.03.2026,93,13,-1,4,4.5,5,5,6,-1.0,4.0,4.5,5.0,5.0,6.0,29.05.2024 stoper (90'),Polska,29.05.2024,bd8-f7-e28a-m31a-n40-h1,poniedzialek,09:21,3"
"Sebastian Kozielski,351650015,16.019,,51,WC 40,18,World Cup - Round I  Matchday 2,09.03.2026,93,14,1.5,3.5,-1,4,4.5,2.5,1.5,3.5,-1.0,4.0,4.5,2.5,29.05.2024 stoper (90'),Polska,29.05.2024,bd12-f8-e36b-m27b-n11-h13,poniedzialek,09:13,1"
"Walter Nesterowicz,355051580,16.053,T1,44,WC 40,12,Continental Championship  Matchday 9,06.02.2026,93,9,1.5,2.5,3.5,2,4,6.5,1.5,2.5,3.5,2.0,4.0,6.5,29.05.2024 bramkarz (90'),Polska,29.05.2024,bd5-f9-e28c-m34c-n17-h1,poniedzialek,09:15,1"
"Jan Ciecierski,354495559,15.052,,37,WC 40,32,World Cup - Round II  Matchday 6,29.05.2026,94,9,-1,4,5,3.5,5,4,-1.0,4.0,5.0,3.5,5.0,4.0,29.05.2024 boczny_obronca (1') napastnik (89'),Polska,29.05.2024,bd3-f3-e3b-m38b-n9-h3,poniedzialek,09:08,1"
"Waldemar Hincza,356235797,15.040,,23,WC 40,34,World Cup - Round III  Matchday 2,08.06.2026,94,11,-1,-1,-1,4,4,5.5,-1.0,-1.0,-1.0,4.0,4.0,5.5,29.05.2024 pomocnik (90'),Polska,29.05.2024,bd3-f6-e3c-m11c-n3-h0,poniedzialek,09:13,1"
"Ryszard Lopacinski,356173557,15.078,,11,WC 40,26,World Cup - Round I  Matchday 10,01.05.2026,94,5,-1,2.5,-1,4.5,-1,5,-1.0,2.5,-1.0,4.5,-1.0,5.0,29.05.2024 napastnik (90'),Polska,29.05.2024,bd2-f2-e22c-m21c-n35-h5,sobota,11:31,1"
