"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update,Usposobienie(test),Scouting Day,Scouting Hour,Scouting Attempt"
"Joram Muiruri,324017963,18.082,,380,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,6,-1,-1,1,-1,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.02.2024 bramkarz (90'),Kenya,28.02.2024,przyjemny+,niedziela,19:22,1"
"John Mogo,324485039,18.086,,366,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,5,5,3,4.5,-1,-1.0,5.0,5.0,-1.0,-1.0,-1.0,26.02.2024 boczny_obronca (90'),Kenya,28.02.2024,kontrowersyjny,niedziela,15:09,1"
"John Njeru,323746810,18.080,,262,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,3.5,3.5,-1,-1,5.5,-1.0,3.5,3.5,-1.0,-1.0,5.5,31.12.2023 boczny_obronca (90'),Kenya,28.02.2024,kontrowersyjny,niedziela,08:31,1"
"Barnabas Suji,330213530,17.096,U112,282,WC 38,7,Continental Championship  Matchday 5,30/05/2025,91,5,-1,5,5.5,5.5,6,5.5,-1.0,5.0,5.5,5.5,6.0,5.5,25.02.2024 stoper (90'),Kenya,28.02.2024,przyjemny+,niedziela,13:35,1"
"Hamidi Mogo,330226034,18.000,,275,WC 38,4,Continental Championship  Matchday 2,19/05/2025,91,4,-1,5.5,5.5,4.5,5,6,-1.0,5.5,5.5,4.5,5.0,6.0,25.02.2024 stoper (90'),Kenya,28.02.2024,zlosliwy,niedziela,17:09,1"
"Casper Kiunjuri,329208503,17.111,U99,269,WC 38,4,Continental Championship  Matchday 2,19/05/2025,91,4,2.5,5.5,5.5,4,-1,-1,2.5,5.5,5.5,4.0,-1.0,-1.0,23.02.2024 bramkarz (90'),Kenya,28.02.2024,przyjemny+,niedziela,06:44,1"
"Jafari Kopiyo,329125627,18.051,,283,WC 37,35,World Cup - Round IV  Matchday 1,28/03/2025,90,12,-1,3.5,4.5,7,5.5,7,-1.0,-1.0,4.5,7.0,5.5,7.0,23.02.2024 pomocnik (90'),Kenya,28.02.2024,kontrowersyjny,niedziela,01:47,2"
"Jean-Paul Gacharia,331991018,17.077,,254,WC 38,10,Continental Championship  Matchday 8,20/06/2025,91,8,-1,-1,-1,5,-1,6.5,-1.0,-1.0,-1.0,5.0,-1.0,5.0,30.11.2023 napastnik (4'),Kenya,28.02.2024,przyjemny+,poniedzialek,01:23,1"
"Rafiki Kibaki,329068994,17.109,Q133,304,WC 38,5,Continental Championship  Matchday 3,23/05/2025,91,4,-1,3.5,4,-1,5.5,5,-1.0,3.5,3.5,-1.0,4.0,5.0,01.02.2024 skrzydlowy (2'),Kenya,28.02.2024,zlosliwy,niedziela,09:55,1"
"Shafia Omoro,322980916,18.082,T204,374,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,2,5.5,5,6.5,5,3.5,2.0,5.5,-1.0,5.5,5.0,-1.0,23.02.2024 skrzydlowy (90'),Kenya,28.02.2024,przyjemny+,niedziela,04:01,1"
"John Lagat,323687051,18.092,Q211,381,WC 37,27,World Cup - Round II  Matchday 2,17/02/2025,90,7,1.5,-1,2.5,4,3.5,4,1.5,-1.0,2.5,4.0,-1.0,4.0,23.02.2024 napastnik (90'),Kenya,28.02.2024,przyjemny+,niedziela,07:28,1"
"Ashur Kangetta,331137430,19.007,,241,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,2.5,-1,-1,3,-1,-1,2.5,-1.0,-1.0,3.0,-1.0,-1.0,17.02.2024 bramkarz (90'),Kenya,28.02.2024,przyjemny+,niedziela,09:19,1"
"Bakari Odindo,326549699,18.100,,339,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,1,1.5,-1,-1,3.5,7,1.0,1.5,-1.0,-1.0,3.5,6.5,24.02.2024 bramkarz (90'),Kenya,28.02.2024,przyjemny+,niedziela,08:50,1"
"Chuma Bagatui,322989968,19.071,P182,353,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3.5,-1,5,4.5,4.5,-1.0,3.5,-1.0,5.0,4.5,4.5,16.12.2023 stoper (90'),Kenya,28.02.2024,przyjemny+,niedziela,08:59,1"
"Jabari Kabuku,328599719,18.053,T118,288,WC 37,35,World Cup - Round IV  Matchday 1,28/03/2025,90,12,-1,2.5,3.5,2.5,4.5,5.5,-1.0,2.5,3.5,2.5,4.5,5.5,24.02.2024 boczny_obronca (90'),Kenya,28.02.2024,przyjemny+,poniedzialek,23:45,1"
"Stephen Wakihuri,329664135,17.106,U120,290,WC 38,6,Continental Championship  Matchday 4,26/05/2025,91,5,-1,2.5,3,5,4.5,5.5,-1.0,2.5,2.5,5.0,4.5,5.5,24.02.2024 stoper (90'),Kenya,28.02.2024,zlosliwy,sobota,11:55,1"
"Tabu Soita,325173110,18.046,,346,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,7,-1,5,6,-1,-1.0,5.0,-1.0,5.0,5.5,-1.0,28.02.2024 stoper (90'),Kenya,28.02.2024,kontrowersyjny,niedziela,10:27,1"
"Kamarrie Komen,326625832,18.052,U161,332,WC 37,35,World Cup - Round IV  Matchday 1,28/03/2025,90,12,-1,-1,-1,-1,-1,8,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,28.02.2024 napastnik (90'),Kenya,28.02.2024,przyjemny+,niedziela,10:50,1"
"Sulek Sharma,482385333,19.002,H189,-1,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,5.5,-1,5.5,-1,7,-1.0,5.5,-1.0,5.0,-1.0,5.5,-----,Kenya,28.02.2024,przyjemny+,niedziela,10:26,1"
"Biashara Musoke,330062996,17.095,,276,WC 38,8,Continental Championship  Matchday 6,06/06/2025,91,6,-1,-1,-1,4,-1,7.5,-1.0,-1.0,-1.0,3.0,-1.0,5.5,27.12.2023 napastnik (90'),Kenya,28.02.2024,kontrowersyjny,niedziela,09:43,2"
"Hanisi Ndindi,332904987,17.063,P63,233,WC 38,12,Continental Championship  Matchday 10,04/07/2025,91,10,-1,3.5,4,3.5,5.5,4,-1.0,3.5,4.0,3.5,4.5,4.0,24.02.2024 stoper (90'),Kenya,28.02.2024,przyjemny+,niedziela,18:55,1"
"Nuru Asimba,329012126,17.101,H161,289,WC 38,7,Continental Championship  Matchday 5,30/05/2025,91,5,1.5,3.5,3.5,3.5,-1,4.5,1.5,3.5,3.5,3.5,-1.0,4.0,24.02.2024 bramkarz (90'),Kenya,28.02.2024,przyjemny+,niedziela,16:32,1"
"Benson Muthigani,315094695,20.021,,474,WC 37,,Final,,,,2,2.5,-1,-1,4.5,-1,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.06.2023 bramkarz (90'),Kenya,28.02.2024,kontrowersyjny,czwartek,17:41,1"
"Jela Michieka,321771620,18.101,,366,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,-1,-1,-1,3,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,24.06.2023 napastnik (90'),Kenya,28.02.2024,przyjemny+,niedziela,17:44,1"
"Josiah Were,325102211,19.046,,374,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,24.06.2023 pomocnik (90'),Kenya,28.02.2024,przyjemny+,niedziela,09:50,1"
"Kennedy Masya,314671493,20.109,,521,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,-1,4,-1,5,-1,6,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,24.06.2023 pomocnik (90'),Kenya,28.02.2024,przyjemny+,niedziela,08:20,1"
"Stephen Lilimani,317596198,19.078,P315,485,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,4.5,-1,7,-1,5.5,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,24.06.2023 pomocnik (90'),Kenya,28.02.2024,przyjemny+,niedziela,11:55,1"
