"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country"
"Jerzy Balak,320509049,16.107,H,118,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,4.5,5,4.5,-1,4.5,,03.04.2023 pomocnik (90'),Polska"
"Remigiusz Niepieklo,320509061,17.037,U,99,WC 36,40,World Cup - Round V  Matchday 3,06/09/2024,88,15,-1,5,5,5,-1,5.5,,25.03.2023 napastnik (90'),Polska"
"Krzysztof Polowczyk,320509893,16.093,,114,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Waldemar Bobik,320509898,16.025,T,87,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,4.5,5.5,3.5,4,-1,,03.04.2023 stoper (90'),Polska"
"Przemyslaw Surowaniec,320509905,17.079,U,85,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,3.5,4.5,2,4.5,3,,04.04.2023 skrzydlowy (90'),Polska"
"Kacper Andrzejewski,320509913,16.110,H,115,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,-1,-1,5.5,-1,-1,,25.03.2023 pomocnik (90'),Polska"
"Konstanty Sebzda,320509919,17.027,T,115,WC 37,,Final,,,,-1,4.5,4.5,6,6,5.5,,02.04.2023 pomocnik (90'),Polska"
"Antoni Hutnik,320509924,16.082,H,87,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,2.5,5,4.5,4.5,,01.04.2023 boczny_obronca (90'),Polska"
"M. Kuzniarski,475592577,17.040,P,-1,WC 36,39,World Cup - Round V  Matchday 2,02/09/2024,88,15,,,-----,Polska"
"Boguslaw Tchorzewski,320509930,16.023,U,107,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,4.5,4.5,7,,30.03.2023 napastnik (90'),Polska"
