"Andrzej Kaliszewski,327502842,16.102,,1,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Radoslaw Moczydlowski,327502857,16.032,,9,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Daniel Mynarski,327502883,16.000,,8,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,08.04.2023 pomocnik (90'),Polska"
"Andrzej Salaj,327502894,15.053,,6,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,-1,-1,-1,3.5,-1,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,09.04.2023 skrzydlowy (90'),Polska"
"Jaroslaw Siejko,327503429,16.073,,12,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,03.04.2023 stoper (44'),Polska"
"Miroslaw Szudzik,327503430,16.012,,12,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,1.5,-1,-1,-1,-1,-1,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,03.04.2023 bramkarz (90'),Polska"
"Julian Kargul,327503431,15.051,,12,WC 37,38,World Cup - Round V  Matchday 1,11/04/2025,90,14,-1,-1,-1,-1,2,-1,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,03.04.2023 skrzydlowy (90'),Polska"
"Achacy Dolna,327503432,17.011,,12,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Zenon Kulawiec,327503433,16.066,,12,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,-1,-1,-1,-1,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,03.04.2023 napastnik (44'),Polska"
"Miroslaw Ledwoch,327503434,16.015,,12,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,2.5,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,03.04.2023 pomocnik (46'),Polska"
"Bronislaw Drozdowicz,327503435,17.000,,12,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,2.5,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,03.04.2023 stoper (46'),Polska"
"Stefan Szulim,327503436,16.065,,12,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,2,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,03.04.2023 pomocnik (44'),Polska"
"Miroslaw Dlugon,327503437,16.072,,12,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
