"Filip Lopusiewicz,325138757,15.090,,66,WC 37,33,World Cup - Round III  Matchday 2,17/03/2025,90,11,-1,4.5,5,-1,4.5,5.5,-1.0,-1.0,5.0,-1.0,-1.0,5.5,24.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Kazimierz Banbura,319504381,16.079,,122,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,5,6,4,5.5,5,-1.0,5.0,6.0,4.0,-1.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Michal Trzewiczek,317705935,16.108,,136,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,5,4.5,3.5,4.5,5.5,-1.0,5.0,-1.0,-1.0,-1.0,5.5,24.04.2023 stoper (90'),Polska,26.04.2023"
"Gustaw Klos,318397289,16.096,,129,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,2.5,3,5,6,7,-1.0,-1.0,-1.0,5.0,6.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Aleksander Polowniak,326987502,15.101,,24,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,5,-1,-1,-1,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 stoper (90'),Polska,26.04.2023"
"Antoni Dluzak,327835613,15.073,,3,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,-1,-1,3,-1,-1,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Jaroslaw Staporski,323283657,15.110,T,87,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,4.5,-1,3.5,5,-1,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,24.04.2023 stoper (90'),Polska,26.04.2023"
"Jaroslaw Zoch,324595608,16.045,H,59,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,3.5,4,-1,5.5,6.5,-1.0,3.5,-1.0,-1.0,5.5,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Jurek Bos,324743523,17.000,,17,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,4,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,11.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Piotr Kiszczak,326167110,15.098,,45,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,3.5,-1,4.5,6.5,-1.0,-1.0,-1.0,-1.0,4.5,6.5,24.04.2023 napastnik (90'),Polska,26.04.2023"
"Roman Rusinowicz,322096943,16.101,,115,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,2,3,3.5,-1,-1.0,-1.0,2.0,3.0,-1.0,-1.0,20.02.2023 pomocnik (90'),Polska,26.04.2023"
"Sobieslaw Kryst,325270420,16.046,S,52,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,5,-1,-1,-1,-1,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 bramkarz (90'),Polska,26.04.2023"
"Terencjusz Lewicki,324894547,16.050,,73,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,3.5,-1,4,-1,-1.0,-1.0,3.5,-1.0,4.0,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Wiktor Idzik,321264757,17.032,,108,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,-1,3.5,4.5,4,6,-1.0,-1.0,3.5,4.5,-1.0,-1.0,17.04.2023 pomocnik (90'),Polska,26.04.2023"
"Ernest Kleszyk,324139029,16.026,,66,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,5.5,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 bramkarz (70'),Polska,26.04.2023"
"Jakub Kabic,323284382,17.042,Q,80,WC 37,1,Friendly,20/09/2024,89,1,-1,5.5,5.5,4,-1,-1,-1.0,5.5,5.5,-1.0,-1.0,-1.0,24.04.2023 stoper (90'),Polska,26.04.2023"
"Daniel Radzikowski,319695451,16.108,,143,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,5.5,4.5,4,4.5,-1,-1.0,5.5,-1.0,4.0,4.5,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Pawel Ciosk,317774386,16.098,,185,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,6,6,-1,4.5,-1,-1.0,6.0,6.0,-1.0,-1.0,-1.0,24.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Cezary Krusiewicz,307775650,18.065,,234,WC 36,18,World Cup - Round I  Matchday 3,10/05/2024,87,14,-1,3.5,4.5,7,7,5.5,-1.0,-1.0,-1.0,-1.0,5.5,-1.0,18.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Patryk Kapela,323217889,17.020,,45,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,3.5,-1,5,6.5,6,-1.0,-1.0,-1.0,-1.0,5.5,5.5,24.04.2023 napastnik (90'),Polska,26.04.2023"
"Stanislaw Dluzynski,313161206,18.060,U,206,WC 36,19,World Cup - Round I  Matchday 4,17/05/2024,87,15,-1,-1,-1,7,5,6,-1.0,-1.0,-1.0,5.5,5.0,-1.0,18.04.2023 pomocnik (90'),Polska,26.04.2023"
"Igor Solny,320670390,16.066,,136,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,5.5,6,4,-1,7.5,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,24.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Zygmunt Kulik,321291707,16.036,,129,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,-1,6,-1,4.5,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Ryszard Reschke,309100248,18.031,H,157,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,-1,-1,-1,-1,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,24.04.2023 napastnik (90'),Polska,26.04.2023"
"Aleksander Kidawa,311083150,18.048,,255,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,5,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 bramkarz (20'),Polska,26.04.2023"
"Nikodem Stonoga,322870836,17.002,,30,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,4.5,-1,6.5,-1,-1,-1.0,4.5,-1.0,5.0,-1.0,-1.0,18.04.2023 stoper (90'),Polska,26.04.2023"
"Lubomysl Lazuga,324449906,16.070,P,3,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,24.04.2023 pomocnik (90'),Polska,26.04.2023"
"Bronislaw Korolewicz,324971626,16.078,H,38,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,2,2.5,-1,6,7,-1.0,2.0,-1.0,-1.0,4.5,-1.0,18.04.2023 skrzydlowy (1'),Polska,26.04.2023"
"Adam Przyszlakowski,326610439,16.109,U,17,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,5,-1,-1,6,-1,-1.0,5.0,-1.0,-1.0,6.0,-1.0,24.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Piotr Nowotniak,319452256,18.028,,164,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,-1,-1,-1,-1,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,28.03.2023 napastnik (5'),Polska,26.04.2023"
"Arkadiusz Okularczyk,323375698,16.103,,9,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,2,-1,4.5,-1,-1,-1,2.0,-1.0,4.5,-1.0,-1.0,-1.0,25.04.2023 bramkarz (90'),Polska,26.04.2023"
"Bartosz Odziemek,320971914,17.026,,64,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,-1,4,5,5,5,-1,-1.0,-1.0,5.0,5.0,5.0,-1.0,25.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Dariusz Szurgot,308267631,18.031,,302,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,2.5,3,5,5,6,-1.0,2.5,-1.0,4.5,-1.0,6.0,18.04.2023 pomocnik (90'),Polska,26.04.2023"
"Eugeniusz Sokolowski,323463103,16.040,U,92,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,4,4.5,6,6,-1,-1.0,-1.0,-1.0,6.0,6.0,-1.0,25.04.2023 pomocnik (90'),Polska,26.04.2023"
"Fryderyk Zeman,310775823,18.026,H,228,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,2,4,4,5,4.5,7,2.0,-1.0,-1.0,-1.0,-1.0,6.5,25.04.2023 napastnik (90'),Polska,26.04.2023"
"Ignacy Gonsior,326380235,16.022,,30,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,4.5,5.5,-1,4.5,-1.0,-1.0,4.5,5.5,-1.0,4.5,25.04.2023 pomocnik (90'),Polska,26.04.2023"
"Jakub Kuropatwa,325044951,16.072,Q,16,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,-1,4,-1,3.5,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,25.04.2023 pomocnik (90'),Polska,26.04.2023"
"Jerzy Oryszczak,323401702,16.096,T,39,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,5,4,5,-1,-1.0,-1.0,5.0,4.0,5.0,-1.0,25.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Krystian Woloszczuk,325364011,16.029,,23,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,5,2,-1,-1,1.5,-1,5.0,2.0,-1.0,-1.0,1.5,-1.0,25.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Maciej Kruczek,326976073,16.097,,2,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,5.5,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.04.2023 boczny_obronca (29'),Polska,26.04.2023"
"Mateusz Pracki,317995732,17.014,P,161,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,3.5,4.5,3,5,5.5,-1.0,-1.0,4.5,-1.0,5.0,5.5,25.04.2023 napastnik (90'),Polska,26.04.2023"
"Miroslaw Sochacki,322914704,17.007,,58,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,5,5.5,4,-1,5.5,-1.0,5.0,-1.0,-1.0,-1.0,5.5,25.04.2023 napastnik (90'),Polska,26.04.2023"
"Tadeusz Walecki,320199688,16.104,,128,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,3.5,5,4.5,5.5,-1.0,-1.0,-1.0,5.0,-1.0,5.0,25.04.2023 boczny_obronca (61'),Polska,26.04.2023"
