
"Albert Klopotowski,323078907,17.010,P,20,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.05.2023"
"Antoni Chudziak,324449738,15.093,,60,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.05.2023"
"Bartlomiej Grajnert,318999416,16.107,,171,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,-1,-1,5,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,01.05.2023 napastnik (90'),Polska,05.05.2023"
"Bartlomiej Lubojanski,318248642,17.031,,178,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,-1,-1,-1,4.5,3.5,-1.0,-1.0,-1.0,-1.0,4.5,3.5,01.05.2023 skrzydlowy (90'),Polska,05.05.2023"
"Ernest Weclawik,315329853,18.050,P,234,WC 36,21,World Cup - Round I  Matchday 6,31/05/2024,88,1,-1,-1,-1,3,3,3,-1.0,-1.0,-1.0,3.0,3.0,-1.0,01.05.2023 skrzydlowy (90'),Polska,05.05.2023"
"Henryk Bruch,317183158,17.079,Q,153,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,-1,-1,-1,5,4,4.5,-1.0,-1.0,-1.0,5.0,4.0,4.5,01.05.2023 pomocnik (90'),Polska,05.05.2023"
"Hubert Halaburda,315804053,18.005,,208,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,5,5,6,4.5,-1.0,-1.0,-1.0,5.0,6.0,-1.0,01.05.2023 pomocnik (90'),Polska,05.05.2023"
"Jaroslaw Kowal,322882659,16.101,,71,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.05.2023"
"Kamil Lubieniecki,322882670,17.069,,84,WC 36,40,World Cup - Round V  Matchday 3,06/09/2024,88,15,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.05.2023"
"Krzysztof Bedynski,322453974,16.052,,29,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.05.2023"
"Leon Brzoski,312246911,17.099,P,283,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,-1,2.5,3.5,4.5,5.5,5,-1.0,2.5,3.5,-1.0,-1.0,-1.0,01.05.2023 boczny_obronca (90'),Polska,05.05.2023"
"Lutoslaw Klinkosz,312683379,17.074,,200,WC 36,38,World Cup - Round V  Matchday 1,30/08/2024,88,14,-1,4,5,4,5,6,-1.0,4.0,5.0,-1.0,-1.0,-1.0,01.05.2023 stoper (90'),Polska,05.05.2023"
"Maciej Piegzik,319988564,17.072,,128,WC 36,39,World Cup - Round V  Matchday 2,02/09/2024,88,15,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.05.2023"
"Marcin Jemiol,311061686,18.004,P,263,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,1.5,2.5,3.5,3,4,3.5,1.5,2.5,3.0,-1.0,-1.0,-1.0,01.05.2023 bramkarz (90'),Polska,05.05.2023"
