"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Adam Hinz,311138083,18.069,Q,262,WC 36,22,World Cup - Round I  Matchday 7,07/06/2024,88,2,-1,2.5,2.5,6,5,-1,-1.0,2.5,2.5,6.0,5.0,-1.0,26.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Aleksander Grylewicz,314740123,18.048,,213,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,5,-1,-1,0.5,1.5,1.5,4.5,-1.0,-1.0,0.5,-1.0,1.5,26.05.2023 skrzydlowy (71'),Polska,01.06.2023"
"Arkadiusz Babicz,322264089,16.054,,45,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,-1,-1,-1,5,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,26.05.2023 napastnik (90'),Polska,01.06.2023"
"Artur Zywiolek,318221990,17.012,,178,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,-1,5.5,5.5,-1,5.5,4.5,-1.0,5.5,5.5,-1.0,5.5,4.5,26.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Bartosz Holubowicz,297092744,20.092,,507,WC 36,,Final,,,,-1,-1,3.5,6,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,08.11.2022 pomocnik (90'),Polska,01.06.2023"
"Boleslaw Myszk,307880179,19.051,,360,WC 36,7,Continental Championship  Matchday 5,08/03/2024,87,5,-1,5,-1,-1,4.5,-1,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,07.04.2023 skrzydlowy (90'),Polska,01.06.2023"
"Cezary Zlotorowicz,314832119,17.094,,255,WC 36,40,World Cup - Round V  Matchday 3,06/09/2024,88,15,-1,-1,5.5,3.5,5,-1,-1.0,-1.0,5.5,3.5,5.0,-1.0,26.05.2023 pomocnik (90'),Polska,01.06.2023"
"Dariusz Wodkiewicz,313884429,18.006,,220,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,-1,4.5,4.5,4,-1,5.5,-1.0,4.5,4.5,4.0,-1.0,-1.0,26.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Filip Priebe,310065157,18.105,Q,351,WC 36,17,World Cup - Round I  Matchday 2,06/05/2024,87,14,1.5,3,4.5,4,-1,9,1.5,3.0,-1.0,-1.0,-1.0,9.0,26.05.2023 bramkarz (90'),Polska,01.06.2023"
"Hubert Grzempowski,320082265,17.103,U,164,WC 36,38,World Cup - Round V  Matchday 1,30/08/2024,88,14,-1,3.5,-1,-1,-1,4.5,-1.0,3.5,-1.0,-1.0,-1.0,4.5,26.05.2023 napastnik (90'),Polska,01.06.2023"
"Jakub Czajkowski,316431680,17.089,,199,WC 37,,Final,,,,6,-1,-1,1.5,-1,1,5.5,-1.0,-1.0,1.5,-1.0,1.0,26.05.2023 pomocnik (90'),Polska,01.06.2023"
"Jakub Dajcz,312464531,19.044,,290,WC 36,8,Continental Championship  Matchday 6,15/03/2024,87,6,4.5,-1,-1,1.5,-1,1,4.5,-1.0,-1.0,1.5,-1.0,-1.0,27.01.2023 pomocnik (90'),Polska,01.06.2023"
"Janusz Hinca,308458485,19.019,Q,318,WC 36,12,Continental Championship  Matchday 10,12/04/2024,87,10,-1,4,4.5,3.5,5,-1,-1.0,-1.0,4.5,3.5,5.0,-1.0,12.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Maciej Put,313456551,18.019,,206,WC 36,32,World Cup - Round III  Matchday 1,02/08/2024,88,10,-1,4,-1,-1,5,6.5,-1.0,4.0,-1.0,-1.0,5.0,6.5,26.05.2023 stoper (90'),Polska,01.06.2023"
"Stanislaw Kopytko,307573208,19.049,,326,WC 36,7,Continental Championship  Matchday 5,08/03/2024,87,5,4,3,3,-1,-1,-1,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,07.04.2023 boczny_obronca (90'),Polska,01.06.2023"
"Tobiasz Modzelewski,305354415,19.011,,423,WC 36,13,Continental Championship - Quarterfinals,19/04/2024,87,11,1,1.5,-1,3.5,5,7,1.0,-1.0,-1.0,-1.0,5.0,7.0,19.05.2023 napastnik (90'),Polska,01.06.2023"
"Witold Piesiur,311185251,18.009,T,332,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,-1,4.5,4,4.5,4.5,4,-1.0,4.5,4.0,4.5,-1.0,-1.0,26.05.2023 stoper (90'),Polska,01.06.2023"
"Marek Stein,316781146,18.017,,214,WC 36,32,World Cup - Round III  Matchday 1,02/08/2024,88,10,5,1.5,1.5,-1,-1,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.05.2023 bramkarz (90'),Polska,01.06.2023"
"Bartlomiej Garnek,319856200,16.097,,186,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,3,4.5,4.5,4.5,4.5,-1.0,3.0,3.0,4.5,4.5,-1.0,21.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"H. Leja,476728801,17.055,,-1,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,4.5,-1,5.5,5,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,-----,Polska,01.06.2023"
