"Adrian Narozhnyi,325701978,15.046,,44,WC 37,40,World Cup - Round V  Matchday 3,18/04/2025,90,15,-1,-1,-1,-1,5,-1,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,11.04.2023 skrzydlowy (90'),Polska"
"Arkadiusz Damps,326379657,15.096,,1,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Jedrzej Skapski,320444063,16.062,,80,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,2.5,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,11.04.2023 pomocnik (90'),Polska"
"Karol Rodzen,320490207,17.004,H,122,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,3.5,3.5,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,11.04.2023 napastnik (90'),Polska"
"Marceli Walenciak,320718453,17.021,,113,WC 37,2,Friendly,27/09/2024,89,2,-1,4,-1,3.5,5,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,11.04.2023 napastnik (90'),Polska"
"Marian Bozejewicz,324063030,16.047,,64,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,6,-1,-1,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,11.04.2023 pomocnik (90'),Polska"
"Pawel Kitowski,322453871,15.111,Q,50,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,-1,4.5,-1,-1,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,11.04.2023 pomocnik (90'),Polska"
"Pawel Kmiecik,315369927,17.005,Q,213,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,-1,5.5,-1,6,6,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,11.04.2023 skrzydlowy (90'),Polska"
"Piotr Cabala,309429496,18.008,,234,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,3.5,-1,-1,-1,1.5,2,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,11.04.2023 bramkarz (90'),Polska"
"Walter Peregonczuk,315082786,17.091,,199,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,4,5,-1,5.5,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,11.04.2023 boczny_obronca (90'),Polska"
"Witold Banski,318837921,17.055,H,93,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,-1,5,5.5,-1,-1,-1,-1.0,-1.0,5.5,-1.0,-1.0,-1.0,11.04.2023 boczny_obronca (90'),Polska"
"Antoni Mazela,298580033,20.015,,433,WC 36,,Final,,,,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Bogdan Czora,311068261,18.000,,230,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Bogdan Drogosz,276911150,23.019,,807,WC 36,,Final,,,,2.5,-1,3.5,-1,-1,-1,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,26.12.2021 bramkarz (90'),Polska"
