"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last Update,Outlook,Scouting Day,Scouting Hour,Scouting Attempt"
"Antek Swierzbinski,333685688,18.008,U196,196,WC 38,3,Continental Championship  Matchday 1,16/05/2025,91,3,1.5,3,3.5,4.5,4,6.5,1.5,3.0,3.5,-1.0,-1.0,-1.0,29.02.2024 boczny_obronca (90'),Polska,03.03.2024,bd8-f7-e23c-m33c-n37-h4,niedziela,09:03,2"
"Bartlomiej Wasilowski,342877299,16.047,T105,105,WC 38,37,World Cup - Round IV  Matchday 3,14/11/2025,92,13,-1,-1,-1,5.5,-1,7.5,-1.0,-1.0,-1.0,5.5,-1.0,7.5,29.02.2024 napastnik (90'),Polska,03.03.2024,bd2-f2-e4b-m27b-n24-h8,niedziela,09:02,1"
"Boguslaw Deoniziak,327254422,18.075,,308,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,1,3,3.5,5.5,5.5,4,-1.0,3.0,3.5,5.5,-1.0,-1.0,29.02.2024 pomocnik (90'),Polska,03.03.2024,bd6-f3-e26c-m34c-n27-h8,niedziela,09:48,1"
"Brunon Suski,348088110,15.096,,42,WC 39,8,Continental Championship  Matchday 6,16/01/2026,93,6,2,3,-1,3,4,4,2.0,3.0,-1.0,3.0,4.0,-1.0,29.02.2024 pomocnik (90'),Polska,03.03.2024,bd8-f1-e21b-m30b-n2-h6,niedziela,08:51,1"
"Damian Hatala,331246318,17.083,Q273,273,WC 38,10,Continental Championship  Matchday 8,20/06/2025,91,8,1,2.5,3,4,4,4.5,-1.0,2.5,3.0,4.0,-1.0,-1.0,29.02.2024 pomocnik (90'),Polska,03.03.2024,bd7-f6-e12c-m32c-n12-h4,niedziela,09:43,1"
"Donald Wojs,333886382,17.029,T161,161,WC 38,20,World Cup - Round I  Matchday 5,15/08/2025,91,16,-1,2,2,4,3.5,5.5,-1.0,2.0,-1.0,4.0,-1.0,-1.0,29.02.2024 stoper (90'),Polska,03.03.2024,bd3-f1-e26c-m2c-n6-h8,niedziela,09:35,1"
"Gerwazy Norkowski,343834232,16.002,,7,WC 39,4,Continental Championship  Matchday 2,29/12/2025,93,4,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,03.03.2024,bd3-f6-e15b-m28b-n30-h6,niedziela,08:22,1"
"Grzegorz Zywczyn,337270800,16.076,,140,WC 38,31,World Cup - Round II  Matchday 6,17/10/2025,92,9,1.5,3.5,4,4,4.5,3.5,1.5,3.0,4.0,-1.0,-1.0,3.5,29.02.2024 stoper (90'),Polska,03.03.2024,bd6-f8-e21c-m13c-n31-h14,niedziela,09:16,2"
"Jozef Klysz,338385195,16.079,P126,126,WC 38,30,World Cup - Round II  Matchday 5,10/10/2025,92,8,1,2.5,3.5,4,4.5,4.5,1.0,2.0,3.0,-1.0,-1.0,4.5,29.02.2024 stoper (90'),Polska,03.03.2024,bd6-f1-e12c-m17c-n1-h4,niedziela,07:55,1"
"Kamil Zapala,337810306,16.054,,119,WC 38,36,World Cup - Round IV  Matchday 2,10/11/2025,92,13,2,4.5,5,4.5,-1,4.5,-1.0,-1.0,5.0,4.5,-1.0,-1.0,29.02.2024 boczny_obronca (90'),Polska,03.03.2024,bd5-f9-e31c-m28c-n12-h2,niedziela,09:19,2"
