"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country"
Mieczyslaw Kamyk,320411270,16.017,,128,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,2,-1,4.5,5,5,4,,01.04.2023 pomocnik (90'),Polska
Radoslaw Reszka,320411286,17.055,H,118,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,-1,-1,-1,4,-1,-1,,03.04.2023 pomocnik (90'),Polska
Bartosz Pieczka,320411288,16.034,,81,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,1,2.5,3,2.5,-1,6,,02.04.2023 napastnik (90'),Polska
Lubomysl Piecha,320411289,17.093,H,128,WC 36,28,World Cup - Round II  Matchday 3,12/07/2024,88,7,-1,4.5,6.5,-1,5.5,-1,,04.04.2023 stoper (90'),Polska
Stanislaw Budziosz,320411295,16.036,,105,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,4.5,-1,5.5,4.5,5.5,,01.04.2023 stoper (90'),Polska
Jozef Chilinski,320411297,16.064,H,1,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,-1,-1,-1,-1,-1,,--------,Polska
Jedrzej Brejnak,320411298,16.060,,62,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,3.5,-1,2.5,3,4,,02.03.2023 stoper (90'),Polska
Bernard Topor,320411301,16.018,,115,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,1,2.5,-1,3,4.5,4.5,,31.03.2023 bramkarz (90'),Polska
Pawel Cofta,320411306,16.033,,79,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,1,-1,3.5,3,-1,-1,,05.03.2023 boczny_obronca (90'),Polska
Wlodzimierz Srodecki,320411312,16.052,Q,78,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,-1,-1,6,-1,,29.03.2023 skrzydlowy (90'),Polska
Jan Gaik,320411314,17.024,T,52,WC 37,1,Friendly,20/09/2024,89,1,-1,-1,-1,-1,-1,5.5,,31.03.2023 napastnik (90'),Polska
Pawel Wojda,320411318,16.102,,107,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,-1,-1,-1,-1,,--------,Polska
Simon Wydra,320411319,17.019,,38,WC 37,1,Friendly,20/09/2024,89,1,-1,4.5,4.5,4.5,-1,-1,,31.03.2023 pomocnik (90'),Polska
Bartlomiej Adaszynski,320411331,16.068,P,128,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,-1,-1,4,3.5,-1,,04.04.2023 pomocnik (90'),Polska
Frederick Leddig,320411332,16.046,T,114,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,2.5,-1,4,-1,-1,,03.04.2023 stoper (90'),Polska
Horacjusz Lorenz,320411336,16.042,H,122,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,3.5,-1,-1,4,6,,04.04.2023 skrzydlowy (90'),Polska
Przemyslaw Brol,320411344,16.018,U,11,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,-1,-1,5,-1,,31.03.2023 skrzydlowy (90'),Polska
Marcin Lazaruk,320411345,16.035,U,23,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,-1,-1,-1,-1,-1,,--------,Polska
Mateusz Jeremias,320411352,16.103,,3,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,-1,-1,-1,-1,,--------,Polska
Dawid Brudz,320411353,16.096,,24,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,-1,3.5,-1,5.5,,29.03.2023 pomocnik (90'),Polska
Adam Matyja,320411356,16.083,,103,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,5,-1,-1,5,-1,,18.03.2023 stoper (41'),Polska
Wlodzimierz Pilarz,320411358,17.087,,113,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,2,-1,-1,-1,-1,-1,,02.04.2023 bramkarz (90'),Polska
Joachim Jonski,320411369,17.090,H,107,WC 36,29,World Cup - Round II  Matchday 4,15/07/2024,88,8,-1,-1,-1,4,5,-1,,01.04.2023 pomocnik (90'),Polska
Krystian Czyzewski,320411372,17.078,,108,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,3.5,-1,3,5,-1,,27.03.2023 skrzydlowy (90'),Polska
Bazyli Malysz,320411373,17.044,T,79,WC 36,38,World Cup - Round V  Matchday 1,30/08/2024,88,14,-1,5,-1,6,-1,-1,,04.04.2023 stoper (90'),Polska
Petro Korolevych,320411374,16.088,,17,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,-1,-1,-1,,--------,Polska
H. Sokolski,475589604,17.033,H,-1,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,,,-----,Polska
Przemyslaw Mendera,320411387,16.018,H,66,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,3,3,4.5,3.5,3.5,,24.03.2023 boczny_obronca (90'),Polska
Albin Czacharowski,320411392,16.073,H,80,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,2,-1,5,6,-1,,30.03.2023 skrzydlowy (30'),Polska
Piotr Pryk,320411399,16.019,,105,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,5,6,4.5,5.5,-1,,30.03.2023 skrzydlowy (90'),Polska
Adam Bobak,320411403,16.017,,68,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,4.5,-1,-1,-1,-1,-1,,15.03.2023 bramkarz (90'),Polska
Patryk Grudniak,320411404,17.081,,121,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,-1,3,3,3.5,8,,31.03.2023 napastnik (90'),Polska
Sedziwoj Lizon,320411412,16.111,,59,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,-1,5.5,-1,-1,-1,,02.04.2023 boczny_obronca (90'),Polska
Krzysztof Dziobak,320411413,16.028,Q,115,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,3.5,3.5,6.5,4,3,,04.04.2023 skrzydlowy (90'),Polska
Dobrogost Hoeft,320411416,16.034,,37,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,0.5,1,-1,1.5,-1,,02.04.2023 skrzydlowy (90'),Polska
Stanislaw Gotfryd,320411418,16.054,,114,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,4.5,-1,5,-1,-1,,30.03.2023 pomocnik (90'),Polska
