Player,Player ID,Age,Speciality,Exp,TSI,Salary,Form,Condition,Character,Aggressiveness,Honesty,Leadership,GK,DEF,PM,WG,PASS,SCO,SP,Last_Skills_Update
"Geoffrey Nyabundi,481456600,18.092,,nędzny,19190,8600,7,7,kontrowersyjny,z charakterem,prawy,przeciętny,1,2,12,2,7,3,2,08.08.2024"
"Hashim Wanjugi,481477402,20.083,Q,nędzny,660,1360,6,5,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Silas Njoroge,481459057,18.093,,kiepski,1420,1880,8,6,sympatyczny,z charakterem,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Esau Muhoro,481376246,18.092,Q,kiepski,4330,1720,5,6,kontrowersyjny,z charakterem,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Theodore Nkonge,481456857,18.102,H,nędzny,1510,1360,4,5,popularny,opanowany,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Moses Kosgei,481458900,19.025,U,nędzny,8220,6120,7,6,przyjemny,opanowany,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Paul Mwachofi,481474543,19.007,,nędzny,440,1080,3,5,kontrowersyjny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Darweshi Edebe,481360566,18.095,,nędzny,1820,2120,6,7,przyjemny,porywczy,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Isaac Mwangi,481422439,18.094,Q,kiepski,11130,5920,7,6,kontrowersyjny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Agano Sabuni,481419155,19.086,H,nędzny,840,3720,2,7,sympatyczny,spokojny,podły,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Khamidi Odumbe,481455930,18.088,,nędzny,4240,4680,3,6,przyjemny,opanowany,prawy,słaby,1,3,3,5,3,11,1,08.08.2024"
"Yulian Sawicki,481461359,20.048,U,nędzny,640,1360,2,6,sympatyczny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Pawel Kolka,481414562,21.092,,nędzny,480,1240,3,5,sympatyczny,opanowany,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Antoni Gronowski,481416297,21.027,,nędzny,930,1400,6,5,sympatyczny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Maciej Sieczka,481414655,21.11,,nędzny,620,1160,3,6,przyjemny,z charakterem,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Eryk Wasiak,481463593,21.08,,nędzny,420,1160,3,8,przyjemny,z charakterem,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Adrian Gawelczyk,481417104,23.02,,nędzny,650,1160,6,4,popularny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Hubert Wozniak,481442893,21.009,Q,nędzny,490,1800,2,7,sympatyczny,opanowany,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Witold Ciumak,481458961,19.053,,nędzny,290,1160,4,4,sympatyczny,opanowany,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Kuniewski,481414773,21.017,,nędzny,2010,1480,5,7,sympatyczny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Maslaw Zygula,481471171,19.05,,nędzny,1390,1080,7,6,popularny,zrównoważony,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Bogdan Rabolik,481478777,20.09,,nędzny,1440,1160,8,7,przyjemny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Kazimierz Albiniak,481469266,20.024,U,nędzny,70,1000,3,3,złośliwy,spokojny,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Marko Dogadailo,481462486,21.006,,fatalny,880,1640,2,5,przyjemny,z charakterem,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Abelard Bohdanowicz,481457828,20.108,,fatalny,150,1080,3,5,przyjemny,opanowany,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Blazej Brzezinski,481460398,20.057,T,kiepski,2040,1800,4,7,kontrowersyjny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Korneliusz Przeworski,481462113,20.091,T,nędzny,160,1080,3,5,popularny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Artem Molchaniuk,481465742,20.083,,fatalny,450,1320,3,5,kontrowersyjny,spokojny,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Karol Grabarek,481464448,19.018,P,nędzny,1410,1280,7,6,sympatyczny,opanowany,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Slawosz Igras,481427372,19.073,P,nędzny,100,1000,3,4,kontrowersyjny,opanowany,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Eustachy Fulawka,481469268,21.068,,nędzny,540,1160,5,8,sympatyczny,z charakterem,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Stanislaw Seczkowski,481386770,20.058,Q,nędzny,1780,1960,4,8,sympatyczny,opanowany,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Pelagiusz Pal,481421819,21.013,,nędzny,530,1160,4,4,przyjemny,porywczy,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Adam Kuratowski,481457739,20.09,,fatalny,120,1000,3,8,kontrowersyjny,z charakterem,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Boguslaw Swislocki,481478950,18.101,Q,nędzny,1990,1440,3,6,kontrowersyjny,porywczy,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Adam Gmyrek,481440528,20.089,H,fatalny,120,1000,5,6,przyjemny,zrównoważony,nieuczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Ariel Prusinowski,481471791,20.071,P,nędzny,2330,1720,8,7,sympatyczny,z charakterem,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Marian Sierocki,481475292,20.111,,nędzny,730,1400,4,4,kontrowersyjny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jacek Pokora,481442231,19.047,Q,nędzny,1290,1360,5,7,kontrowersyjny,z charakterem,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Ignacy Jackowski,481421513,19.009,P,kiepski,670,1080,6,6,przyjemny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Bartlomiej Rogozinski,481437590,20.102,P,nędzny,610,1440,5,7,złośliwy,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Jaroslaw Deregowski,481478177,20.046,,fatalny,270,1080,2,6,przyjemny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Bozydar Rojek,481385992,21.033,,kiepski,1180,1400,7,8,przyjemny,spokojny,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Wladyslaw Sokolik,481465479,20.026,U,nędzny,1760,1360,6,8,złośliwy,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Bronislaw Pejski,481471605,19.049,U,nędzny,190,1000,3,6,przyjemny,zrównoważony,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Kamil Mogielnicki,481444728,19.011,P,nędzny,1860,1800,6,7,kontrowersyjny,z charakterem,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jacek Bartyzel,481423697,21.007,U,nędzny,780,1280,2,7,przyjemny,spokojny,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Alojzy Tomczyk,481469985,20.085,,nędzny,1230,1240,6,7,popularny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Karon,481471345,21.056,,nędzny,540,1240,4,6,sympatyczny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Pawel Makarewicz,481461314,21.072,,nędzny,430,1080,2,5,przyjemny,z charakterem,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Michal Miloch,481462929,21.004,,nędzny,1390,1160,7,9,kontrowersyjny,zrównoważony,podły,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Anatol Suleja,481426791,21.006,,nędzny,60,1080,3,8,przyjemny,z charakterem,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Bubien,481419465,19.056,T,nędzny,730,1360,7,7,sympatyczny,opanowany,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Aleks Hubner,481478773,21.012,,nędzny,7430,8280,7,6,przyjemny,porywczy,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Amadeusz Trofimiuk,481439539,20.097,P,nędzny,330,1280,3,7,sympatyczny,spokojny,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Piotr Wielopolski,481462917,20.05,,nędzny,1230,1720,3,6,kontrowersyjny,z charakterem,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Boguslaw Maj,481460415,20.092,,nędzny,370,1080,3,7,przyjemny,porywczy,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Korneliusz Skapski,481471606,20.086,,nędzny,3140,5080,5,4,kontrowersyjny,porywczy,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Boris Halper,481465490,21.048,,nędzny,1460,1400,7,7,przyjemny,opanowany,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Mikolajski,481448479,20.057,H,nędzny,150,1360,1,5,przyjemny,opanowany,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Wincenty Szopinski,481421673,19.08,,nędzny,5780,4440,3,7,złośliwy,z charakterem,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Adrian Stanclik,481463231,20.09,,nędzny,640,1480,4,6,kontrowersyjny,porywczy,podły,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Tadeusz Kurpinski,481431455,20.085,,nędzny,1900,1320,6,8,przyjemny,opanowany,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Lukasz Czajczyk,481473822,21.07,T,nędzny,1210,1960,6,5,przyjemny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Cezary Boguslawski,481464445,19.041,,nędzny,1000,1080,7,6,przyjemny,opanowany,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Wojdyla,481460882,23.03,,nędzny,530,1880,1,7,popularny,z charakterem,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Grzegorz Jarzabski,481452882,20.078,,nędzny,1120,1160,6,5,popularny,opanowany,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Leslaw Macionczyk,481466953,19.053,Q,nędzny,410,1160,6,8,kontrowersyjny,opanowany,prawy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Kosidlo,481464888,21.089,Q,fatalny,640,1160,5,8,sympatyczny,z charakterem,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Albin Osuch,481460763,20.092,,fatalny,160,1080,2,5,przyjemny,porywczy,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Ludmil Jarasz,481463357,20.087,,nędzny,460,1160,5,3,kontrowersyjny,opanowany,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Bogdan Bolesta,481478627,20.077,,nędzny,5410,6440,7,8,kontrowersyjny,zrównoważony,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Piotr Krystyniak,481461844,20.008,,nędzny,820,1320,4,5,przyjemny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Jarmakowski,481427073,20.096,,nędzny,1790,5240,2,8,przyjemny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Ryszard Wieteski,481459490,21.041,S,kiepski,3180,2840,7,7,kontrowersyjny,z charakterem,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Wiktor Tryc,481464437,18.09,U,nędzny,7650,5400,4,6,przyjemny,z charakterem,nieuczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Franciszek Kasperczyk,481419281,20.0,,nędzny,950,1480,6,6,przyjemny,z charakterem,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Grzegorz Bazler,481471762,19.042,,nędzny,1350,1320,6,5,sympatyczny,porywczy,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Wlodzimierz Kosowski,481418914,18.09,H,nędzny,12110,5920,5,7,przyjemny,spokojny,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Wlodzimierz Jagon,481476549,20.087,,nędzny,1790,1560,7,5,przyjemny,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
