"E. Sobieranski,479962675,20.099,H,przeciętny,27860,4960,6,7,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,08.01.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01-7.51,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,8.00-7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,8.00-7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,8.00-7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
"E. Sobieranski,479962675,21.022,H,przeciętny,35460,7960,7,8,8.00-7.90-7.91-7.91-7.92-7.93-7.94-7.41-7.43-8.01,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,12.02.2025"
