Adrian Narozhnyi,325701978,15.051,,49,WC 37,40,World Cup - Round V  Matchday 3,18/04/2025,90,15,-1,-1,-1,-1,5,-1,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,11.04.2023 skrzydlowy (90'),Polska,17.04.2023
Arkadiusz Damps,326379657,15.101,,7,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,17.04.2023
Jedrzej Skapski,320444063,16.067,,85,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,2.5,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,11.04.2023 pomocnik (90'),Polska,17.04.2023
Karol Rodzen,320490207,17.009,H,127,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,3.5,3.5,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,11.04.2023 napastnik (90'),Polska,17.04.2023
Marceli Walenciak,320718453,17.026,,119,WC 37,2,Friendly,27/09/2024,89,2,-1,4,-1,3.5,5,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,11.04.2023 napastnik (90'),Polska,17.04.2023
Marian Bozejewicz,324063030,16.052,,70,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,6,-1,-1,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,11.04.2023 pomocnik (90'),Polska,17.04.2023
Pawel Kitowski,322453871,16.004,Q,56,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,-1,4.5,-1,-1,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,11.04.2023 pomocnik (90'),Polska,17.04.2023
Pawel Kmiecik,315369927,17.010,Q,218,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,-1,5.5,-1,6,6,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,11.04.2023 skrzydlowy (90'),Polska,17.04.2023
Piotr Cabala,309429496,18.013,,239,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,3.5,-1,-1,-1,1.5,2,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,11.04.2023 bramkarz (90'),Polska,17.04.2023
Walter Peregonczuk,315082786,17.096,,204,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,4,5,-1,5.5,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,11.04.2023 boczny_obronca (90'),Polska,17.04.2023
Witold Banski,318837921,17.060,H,98,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,-1,5,5.5,-1,-1,-1,-1.0,-1.0,5.5,-1.0,-1.0,-1.0,11.04.2023 boczny_obronca (90'),Polska,17.04.2023
Antoni Mazela,298580033,20.020,,438,WC 36,,Final,,,,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,17.04.2023
Bogdan Czora,311068261,18.005,,235,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,17.04.2023
